,ALL mean (± sd),ALL n (%),COC+ mean (± sd),COC+ n (%),COC- mean (± sd),COC- n (%),p_value
Age (years),80.51 (±6.29),,80.61 (±6.5),,80.1 (±5.27),,0.652
Sex (male),,68 (40.7%),,58 (42.3%),,10 (33.3%),0.4815
Trauma Surgery (Yes/No),,127 (76.0%),,104 (75.9%),,23 (76.7%),1.0
General & Visceral Surgery (Yes/No),,22 (13.2%),,17 (12.4%),,5 (16.7%),0.744
Urology (Yes/No),,18 (10.8%),,16 (11.7%),,2 (6.7%),0.6335
BMI (kg/m²),26.28 (±5.03),,26.29 (±4.85),,26.23 (±5.93),,0.7
NRS (Yes/No),,78 (46.7%),,66 (48.2%),,12 (40.0%),0.6204
MoCA 5-min (score),21.61 (±5.88),,21.63 (±5.78),,21.52 (±6.43),,0.9077
Dementia (Yes/No),,19 (11.4%),,15 (10.9%),,4 (13.3%),0.956
PHQ4 (score),2.48 (±2.71),,2.27 (±2.56),,3.45 (±3.18),,0.0548
ISAR (score),3.04 (±0.97),,2.97 (±0.91),,3.37 (±1.16),,0.0871
CFS (score),4.19 (±1.76),,4.1 (±1.79),,4.6 (±1.59),,0.1627
ASA (class),2.93 (±0.52),,2.89 (±0.53),,3.13 (±0.43),,0.0188
Number of Medications (n),8.85 (±3.83),,8.47 (±3.49),,10.6 (±4.79),,0.0054
Social Grade Level (class),0.97 (±1.27),,0.96 (±1.28),,1.0 (±1.23),,0.7852
Nursing Services (class),1.09 (±0.76),,1.07 (±0.74),,1.17 (±0.83),,0.6007
Living Alone (Yes/No),,77 (46.1%),,59 (43.1%),,18 (60.0%),0.138
Barthel Index (score),85.96 (±19.22),,85.81 (±19.28),,86.67 (±19.27),,0.9002
CHARMI (score),7.93 (±2.66),,7.93 (±2.68),,7.93 (±2.65),,0.9182
NMS (score),6.29 (±2.52),,6.32 (±2.58),,6.13 (±2.29),,0.5339
Falls (Yes/No),,104 (62.3%),,84 (61.3%),,20 (66.7%),0.9591
Emergency OP (Yes/No),,95 (56.9%),,73 (53.3%),,22 (73.3%),0.0711
Time to OP (hours),63.05 (±88.06),,57.82 (±88.02),,86.74 (±85.68),,0.0341
Cut-to-Suture Time (minutes),88.92 (±67.08),,87.8 (±62.86),,94.03 (±84.84),,0.8594
Length of Stay ICU (minutes),402.35 (±979.82),,315.98 (±523.51),,775.61 (±1966.35),,0.1813
Length of Stay (days),12.46 (±10.34),,12.26 (±10.99),,13.37 (±6.63),,0.0375
